,Country,happiness-score
7,Afghanistan,3.982854605
18,Albania,4.6066508289999994
42,Argentina,6.69713068
55,Armenia,4.34831953
67,Australia,7.309060574
78,Austria,7.07644701
91,Azerbaijan,5.146774768999999
101,Bahrain,6.00737524
113,Bangladesh,4.633473873
126,Belarus,5.718907832999999
138,Belgium,6.904219151
150,Benin,3.6246643069999998
156,Bhutan,5.082128525
166,Bolivia,5.834329127999999
177,Bosnia and Herzegovina,5.1171779630000005
188,Botswana,3.761964798
201,Brazil,6.546896935
211,Bulgaria,4.865401268
223,Burkina Faso,4.418930054
241,Cambodia,4.162164688
254,Cameroon,5.037964821
267,Canada,7.412772655
285,Chad,4.3226752280000005
298,Chile,6.532749653
311,China,5.303877831
324,Colombia,6.387571812000001
338,Congo,4.6908302310000005
351,Costa Rica,6.8540043829999995
358,Cote d'Ivoire,4.445038795
369,Croatia,5.205438137
381,Cyprus,5.439161301
392,Czech Republic,6.608017445
401,Democratic Republic of Congo,3.9027416710000002
413,Denmark,7.5144248010000005
430,Dominican Republic,5.061862468999999
443,Ecuador,5.964075089
456,Egypt,4.7625384330000005
469,El Salvador,6.018496037
481,Estonia,5.628908634
488,Ethiopia,4.573154926
499,Finland,7.447925568
512,France,6.357625007999999
520,Gabon,4.66101265
535,Georgia,4.1219406130000005
548,Germany,7.037137508
561,Ghana,3.9859161380000003
572,Greece,5.622519016
585,Guatemala,6.464986801
593,Guinea,3.504693508
605,Haiti,3.569762468
618,Honduras,4.845436573
639,Hungary,5.34438324
645,Iceland,7.498070717
657,India,4.342079163
670,Indonesia,5.04279995
681,Iran,4.749955654
692,Iraq,4.493377209
703,Ireland,6.830125332000001
716,Israel,7.07941103
729,Italy,5.847683907
747,Japan,5.879684448
760,Jordan,5.404593468
773,Kazakhstan,5.949995041
786,Kenya,4.357617855
798,Kosovo,5.077460766000001
809,Kuwait,6.1460318570000005
821,Kyrgyzstan,4.9053759569999995
840,Latvia,5.880597591
853,Lebanon,5.171971321
864,Liberia,2.701591253
869,Libya,5.615404606
882,Lithuania,5.711378098
892,Luxembourg,6.701571465
903,Macedonia,4.975589752
913,Madagascar,3.592514038
924,Malawi,3.86763835
937,Malaysia,6.3221211429999995
947,Mali,4.582098483999999
957,Malta,6.61339426
969,Mauritania,3.922664165
987,Mexico,6.236287117000001
1000,Moldova,6.0174722670000005
1011,Mongolia,4.982719898
1022,Montenegro,5.124921322
1030,Morocco,5.163156986000001
1038,Mozambique,4.549767494
1044,Myanmar,4.2238464360000005
1061,Nepal,4.812436581
1073,Netherlands,7.324437141000001
1085,New Zealand,7.418120861
1098,Nicaragua,5.924112797
1111,Niger,3.6714537139999996
1122,Nigeria,4.932914734
1129,Northern Cyprus,5.842550277999999
1136,Norway,7.603433609
1150,Pakistan,4.823194981
1163,Palestine,4.695239067
1176,Panama,6.605550289
1189,Paraguay,5.559724331
1201,Peru,5.577263355
1214,Philippines,5.547489166
1226,Poland,6.007021904
1236,Portugal,5.080866337
1244,Qatar,6.3745293620000005
1253,Romania,5.777491092999999
1266,Russia,5.995538712
1277,Rwanda,3.483108997
1290,Saudi Arabia,6.3454918860000005
1303,Senegal,4.61700058
1314,Serbia,5.317685127
1325,Sierra Leone,4.908617973
1337,Singapore,6.619524956
1347,Slovakia,6.162004471
1358,Slovenia,5.740642071
1367,Somalia,5.353644848
1378,South Africa,4.887325764
1391,South Korea,5.780211448999999
1396,South Sudan,4.070771217
1408,Spain,6.380663395
1421,Sri Lanka,4.611606598
1441,Sweden,7.28892231
1449,Switzerland,7.572136878999999
1459,Syria,3.46191287
1467,Taiwan,6.450088023999999
1480,Tajikistan,5.124210835
1492,Tanzania,3.660597324
1505,Thailand,6.201762676
1513,Togo,3.768301964
1528,Tunisia,5.131611824
1541,Turkey,5.514465332
1550,Turkmenistan,5.791460037
1563,Uganda,4.237686634
1576,Ukraine,3.9645428660000004
1587,United Arab Emirates,6.568397522000001
1600,United Kingdom,6.515445232
1613,United States,6.863946915
1626,Uruguay,6.628080367999999
1638,Uzbekistan,5.972364426
1651,Venezuela,5.568800448999999
1664,Vietnam,5.076315403
1675,Yemen,2.982673883
1687,Zambia,4.843164444
1700,Zimbabwe,3.70319128
