,Country,happiness-score
864,Liberia,2.701591253
1675,Yemen,2.982673883
1459,Syria,3.46191287
1277,Rwanda,3.483108997
593,Guinea,3.504693508
605,Haiti,3.569762468
913,Madagascar,3.592514038
150,Benin,3.6246643069999998
1492,Tanzania,3.660597324
1111,Niger,3.6714537139999996
1700,Zimbabwe,3.70319128
188,Botswana,3.761964798
1513,Togo,3.768301964
924,Malawi,3.86763835
401,Democratic Republic of Congo,3.9027416710000002
969,Mauritania,3.922664165
1576,Ukraine,3.9645428660000004
7,Afghanistan,3.982854605
561,Ghana,3.9859161380000003
1396,South Sudan,4.070771217
