,Country,happiness-score
1136,Norway,7.603433609
1449,Switzerland,7.572136878999999
413,Denmark,7.5144248010000005
645,Iceland,7.498070717
499,Finland,7.447925568
1085,New Zealand,7.418120861
267,Canada,7.412772655
1073,Netherlands,7.324437141000001
67,Australia,7.309060574
1441,Sweden,7.28892231
716,Israel,7.07941103
78,Austria,7.07644701
548,Germany,7.037137508
138,Belgium,6.904219151
1613,United States,6.863946915
351,Costa Rica,6.8540043829999995
703,Ireland,6.830125332000001
892,Luxembourg,6.701571465
42,Argentina,6.69713068
1626,Uruguay,6.628080367999999
